"","Plot","Quad","Type","Num","Species","Confidence","Dead.Stump","SA.Height_cm","SA.BD_cm","SA.Stems","DBH_cm","X_cm","Y_cm","Notes","iNum","Point","dbh","Basal.Area","Dead","Live","Topkill","gCrown","Survival","Epicormic","Apical","NPoints","bSprout","Year"
"249","PPW1307","B1","TR",1165.1,"QUEAGR",1,NA,NA,NA,NA,1.26,412,408,NA,1165,0.099999999999909,1.26,1.24689812420979,NA,1,NA,1,NA,NA,NA,1,NA,2013
"253","PPW1307","C1","TR",1159.1,"QUEAGR",1,NA,NA,NA,NA,4.24,151,166,NA,1159,0.099999999999909,4.24,14.119574022294,NA,1,NA,1,NA,NA,NA,1,NA,2013
"281","PPW1307","D1","TR",1179.1,"UMBCAL",1,NA,NA,NA,NA,4.5,0,234,NA,1179,0.099999999999909,4.5,15.9043128087983,NA,1,NA,1,NA,NA,NA,1,NA,2013
"290","PPW1308","B2","TR",1253.1,"QUEGAR",0,NA,NA,NA,NA,21.1,369,36,NA,1253,0.099999999999909,21.1,349.667116326178,NA,1,NA,1,NA,NA,NA,1,NA,2013
"291","PPW1308","B2","TR",1253.2,"QUEGAR",0,NA,NA,NA,NA,26.4,369,36,NA,1253,0.200000000000045,26.4,547.391103961485,NA,1,NA,1,NA,NA,NA,1,NA,2013
"293","PPW1308","C1","TR",1254.1,"QUEGAR",0,NA,NA,NA,NA,17.75,153,398,NA,1254,0.099999999999909,17.75,247.449508855409,NA,1,NA,1,NA,NA,NA,1,NA,2013
"299","PPW1309","B1","TR",1245.1,"QUEAGR",1,NA,NA,NA,NA,37.45,281,368,NA,1245,0.099999999999909,37.45,1101.52288766033,NA,1,NA,1,NA,NA,NA,1,NA,2013
"303","PPW1310","A1","TR",1222.1,"QUEGAR",0,NA,NA,NA,NA,17.15,317,187,"was quedec in aug-sp",1222,0.099999999999909,17.15,231.003271313866,NA,1,NA,1,NA,NA,NA,1,NA,2013
"310","PPW1310","B2","TR",1228.1,"ARCMAN",1,NA,NA,NA,NA,8.15,429,277,"rotten/burnt?",1228,0.099999999999909,8.15,52.168109508267,NA,1,NA,1,NA,NA,NA,1,NA,2013
"311","PPW1310","B2","TR",1228.2,"ARCMAN",1,NA,NA,NA,NA,10.5,429,277,"rotten/burnt?",1228,0.200000000000045,10.5,86.5901475145687,NA,1,NA,1,NA,NA,NA,1,NA,2013
"312","PPW1310","B2","TR",1228.3,"ARCMAN",1,NA,NA,NA,NA,7.7,429,277,NA,1228,0.299999999999955,7.7,46.5662571078347,NA,1,NA,1,NA,NA,NA,1,NA,2013
"317","PPW1310","C1","TR",1232.1,"QUEGAR",0,NA,NA,NA,NA,21,233,343,"was quedec in aug-sp",1232,0.099999999999909,21,346.360590058275,NA,1,NA,1,NA,NA,NA,1,NA,2013
