"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp"
"76",1055.3,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"77",1055.5,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"78",1056,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"79",1057,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"80",1058,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"81",1059,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"82",1060,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"83",1061,"PPW1302","PPW1302","PPW1302","PPW1302","PSEMEN","PSEMEN","PSEMEN","PSEMEN",1,1
"84",1062,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"85",1063,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"86",1064,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"87",1065,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"88",1065.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"89",1065.2,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"90",1065.3,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"91",1065.4,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"92",1066,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"93",1067,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"94",1067.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"95",1067.2,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"96",1067.3,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"97",1068,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"98",1068.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"99",1069,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"100",1069.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"101",1069.2,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"102",1069.3,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"103",1070,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"104",1071,"PPW1302","PPW1302","PPW1302","PPW1302","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"105",1072,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"106",1073,"PPW1302","PPW1302","PPW1302","PPW1302","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"107",1074,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"108",1075,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"109",1076,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"110",1077,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"111",1078,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"112",1079,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"113",1080,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"114",1081,"PPW1302","PPW1302","PPW1302","PPW1302","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"115",1082,"PPW1302","PPW1302","PPW1302","PPW1302","PSEMEN","PSEMEN","PSEMEN","PSEMEN",1,1
"116",1083,"PPW1305","PPW1305","PPW1305",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"117",1084,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"118",1085,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"119",1086,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"120",1087,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"121",1088,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"122",1089,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"123",1090,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"124",1091,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"125",1092,"PPW1302","PPW1302",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"126",1093,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"127",1094,"PPW1302","PPW1302","PPW1302","PPW1302","PSEMEN","PSEMEN","PSEMEN","PSEMEN",1,1
"128",1095,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"129",1096,"PPW1302","PPW1302","PPW1302","PPW1302","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"130",1096.1,"PPW1302","PPW1302","PPW1302","PPW1302","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"131",1096.2,"PPW1302","PPW1302","PPW1302","PPW1302","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"132",1097,"PPW1302","PPW1302","PPW1302","PPW1302","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"133",1097.1,NA,NA,"PPW1302","PPW1302",NA,NA,"QUEAGR","QUEAGR",1,1
"134",1098,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"135",1099,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"136",1100,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"137",1101,"PPW1304","PPW1304","PPW1304","PPW1304","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"138",1101.1,"PPW1304","PPW1304","PPW1304","PPW1304","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"139",1102,"PPW1304","PPW1304","PPW1304","PPW1304","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"140",1103,"PPW1304","PPW1304","PPW1304","PPW1304","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"141",1104,"PPW1304","PPW1304","PPW1304","PPW1304","AESCAL","AESCAL","AESCAL","AESCAL",1,1
"142",1104.1,"PPW1304","PPW1304","PPW1304","PPW1304","AESCAL","AESCAL","AESCAL","AESCAL",1,1
"143",1105,"PPW1304","PPW1304","PPW1304","PPW1304","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"144",1106,"PPW1304","PPW1304","PPW1304","PPW1304","AESCAL","AESCAL","AESCAL","AESCAL",1,1
"145",1106.1,"PPW1304","PPW1304","PPW1304","PPW1304","AESCAL","AESCAL","AESCAL","AESCAL",1,1
"146",1107,"PPW1304","PPW1304","PPW1304","PPW1304","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"147",1109,"PPW1307","PPW1307","PPW1307",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"148",1110,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"149",1110.1,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"150",1110.2,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"151",1111,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"152",1112,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"153",1112.1,"PPW1307","PPW1307","PPW1307",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"154",1113,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"155",1114,"PPW1307","PPW1307",NA,NA,"PSEMEN","PSEMEN",NA,NA,1,1
"156",1116,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"157",1117,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"158",1119,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"159",1120,"PPW1307","PPW1307","PPW1307",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"160",1122,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"161",1123,"PPW1307","PPW1307","PPW1307","PPW1307","QUEKEL","QUEKEL","QUEKEL","QUEKEL",1,1
"162",1124,"PPW1307","PPW1307","PPW1307","PPW1307","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"163",1125,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"164",1126,"PPW1307","PPW1307","PPW1307","PPW1307","QUEKEL","QUEKEL","QUEKEL","QUEKEL",1,1
"165",1128,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"166",1129,"PPW1307","PPW1307","PPW1307",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"167",1130,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"168",1131,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"169",1131.1,"PPW1307","PPW1307","PPW1307",NA,"ARBMEN","ARBMEN","ARBMEN",NA,1,1
"170",1131.2,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"171",1132,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"172",1132.1,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"173",1133,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"174",1134,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"175",1135,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"176",1136,"PPW1307","PPW1307",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"177",1137,"PPW1307","PPW1307",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"178",1138,"PPW1307","PPW1307",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"179",1139,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"180",1140,"PPW1307","PPW1307","PPW1307",NA,"ARCMAN","ARCMAN","ARCMAN",NA,1,1
"181",1141,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"182",1142,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"183",1142.1,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"184",1143,"PPW1307","PPW1307","PPW1307","PPW1307","ARBMEN","ARBMEN","ARBMEN","ARBMEN",1,1
"185",1143.1,"PPW1307","PPW1307",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"186",1144,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"187",1145,"PPW1307","PPW1307","PPW1307",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
