"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"1888",2908,"PPW1336","PPW1336","PPW1336","PPW1336","QUEAGR","QUEAGR","QUEGAR","QUEGAR",1,2,0,0
"1889",2909,"PPW1336","PPW1336","PPW1336","PPW1336","QUEGAR","QUEAGR","QUEGAR","QUEGAR",1,2,0,0
"1890",2910,"PPW1336","PPW1336","PPW1336","PPW1336","QUEAGR","QUEGAR","QUEAGR","QUEAGR",1,2,0,0
"1896",2916,"PPW1336","PPW1336","PPW1336","PPW1336","QUEGAR","QUEGAR","QUEGAR","QUEAGR",1,2,0,0
"2002",3022,"PPW1347","PPW1347","PPW1347","PPW1347","AMOCAL","AMOCAL","UMBCAL","UMBCAL",1,2,0,0
"2073",3093,"PPW1348","PPW1348",NA,NA,"HETARB","AMOCAL",NA,NA,1,2,0,0
"2079",3099,"PPW1348","PPW1348","PPW1348","PPW1348","QUEKEL","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2104",3125,"PPW1348","PPW1348","PPW1348","PPW1348","UMBCAL","UMBCAL","AMOCAL","AMOCAL",1,2,0,0
"2114",3135,"PPW1348","PPW1348","PPW1348","PPW1348","QUEAGR","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2115",3136,"PPW1348","PPW1348","PPW1348","PPW1348","QUEAGR","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2116",3137,"PPW1348","PPW1348","PPW1348","PPW1348","QUEAGR","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2123",3144,"PPW1348","PPW1348","PPW1348","PPW1348","QUEAGR","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2171",3192,"PPW1348","PPW1348","PPW1348","PPW1348","QUEKEL","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2180",3201,"PPW1348","PPW1348","PPW1348","PPW1348","QUEKEL","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2186",3207,"PPW1348","PPW1348","PPW1348","PPW1348","QUEKEL","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"2275",3297,"PPW1337","PPW1337","PPW1337","PPW1337","ARBMEN","UMBCAL","UMBCAL","UMBCAL",1,2,0,0
"2321",3343,"PPW1333","PPW1333","PPW1333","PPW1333","QUEKEL","QUEKEL","QUEKEL","QUEGAR",1,2,0,0
