"","X","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"153",153,"PPW1521","A3",524708,4269600,-236356.512470033,65432.0524559608,-122.716352256905,38.5745157645107,138,92,2,23,4,1,1.68022263050079,19.5899925231934,101,89,2,2
"154",154,"PPW1521","A4",524708,4269620,-236355.876875255,65452.0774555188,-122.716351548163,38.5746960025983,122,80,2,38,17,1,1.68022263050079,49.1381645202637,100,73,2,2
"155",155,"PPW1521","A5",524708,4269640,-236355.241280265,65472.1024536695,-122.716350839416,38.5748762406802,116,73,2,38,17,1,1.68022263050079,27.8774471282959,91,80,2,2
"156",156,"PPW1521","B1",524728,4269560,-236337.81307169,65391.3682488846,-122.716124078207,38.5741547317286,183,122,2,17,-1,1,11.6166667938232,51.7717628479004,87,92,2,2
"157",157,"PPW1521","B2",524728,4269580,-236337.177475937,65411.3932509976,-122.716123368904,38.5743349698237,138,92,2,17,-1,1,11.6166667938232,19.5899925231934,103,66,2,2
"158",158,"PPW1521","B3",524728,4269600,-236336.541879972,65431.4182516974,-122.716122659596,38.5745152079132,100,63,1,18,0,1,11.6166667938232,39.7054138183594,107,76,2,2
"159",159,"PPW1521","B4",524728,4269620,-236335.906283796,65451.4432509723,-122.716121950281,38.5746954459972,110,72,2,34,14,1,1.68022263050079,25.7012023925781,104,63,2,2
"160",160,"PPW1521","B5",524728,4269640,-236335.270687407,65471.4682488372,-122.71612124096,38.5748756840755,110,72,2,34,14,1,2.28283834457397,25.7012023925781,97,88,2,2
"161",161,"PPW1521","C1",524748,4269560,-236317.842484722,65390.7340435325,-122.715894482052,38.5741541746878,129,83,2,48,25,1,11.6166667938232,49.0003471374512,90,70,2,2
"162",162,"PPW1521","C2",524748,4269580,-236317.20688757,65410.7590453583,-122.715893772176,38.5743344127794,129,83,2,48,25,1,1.68022263050079,49.0003471374512,91,87,2,2
"163",163,"PPW1521","C3",524748,4269600,-236316.571290208,65430.7840457689,-122.715893062294,38.5745146508653,100,63,1,18,0,1,1.68022263050079,39.7054138183594,101,72,2,2
"164",164,"PPW1521","C4",524748,4269620,-236315.935692635,65450.8090447648,-122.715892352405,38.5746948889457,110,72,2,18,0,1,1.68022263050079,25.7012023925781,102,95,2,2
"165",165,"PPW1521","C5",524748,4269640,-236315.30009485,65470.8340423419,-122.71589164251,38.5748751270205,62,27,1,15,-3,1,2.28283834457397,2.93602967262268,80,73,2,2
"166",166,"PPW1521","D1",524768,4269560,-236297.871898052,65390.0998365106,-122.715664885903,38.5741536171968,103,63,1,18,0,1,1.68022263050079,121.943687438965,96,95,2,2
"167",167,"PPW1521","D2",524768,4269580,-236297.236299505,65410.1248380514,-122.715664175453,38.5743338552847,96,58,1,15,-2,1,1.68022263050079,29.223611831665,93,75,2,2
"168",168,"PPW1521","D3",524768,4269600,-236296.600700747,65430.1498381803,-122.715663464998,38.5745140933671,67,33,1,40,18,1,1.68022263050079,6.70540714263916,103,66,2,2
"169",169,"PPW1521","D4",524768,4269620,-236295.965101776,65450.1748368917,-122.715662754535,38.5746943314439,67,33,1,40,18,1,1.68022263050079,6.70540714263916,81,84,2,2
"170",170,"PPW1521","D5",524767.999999999,4269640,-236295.329502593,65470.1998341829,-122.715662044067,38.5748745695151,62,27,1,15,-3,1,19.7020988464355,2.93602967262268,59,47,1,1
"171",171,"PPW1521","E1",524788,4269560,-236277.901311684,65389.4656278286,-122.715435289761,38.5741530592554,103,63,1,-1,-16,1,1.68022263050079,121.943687438965,98,87,2,2
"172",172,"PPW1521","E2",524788,4269580,-236277.265711741,65409.4906290877,-122.715434578737,38.5743332973397,96,58,1,15,-2,1,1.68022263050079,29.223611831665,98,82,2,2
"173",173,"PPW1521","E3",524788,4269600,-236276.630111583,65429.5156289251,-122.715433867708,38.5745135354185,47,14,1,66,41,1,1.68022263050079,27.3448886871338,99,72,2,2
"174",174,"PPW1521","E4",524787.999999999,4269620,-236275.994511217,65449.5406273506,-122.715433156672,38.5746937734918,47,14,1,30,10,1,1.68022263050079,27.3448886871338,63,61,1,2
"175",175,"PPW1521","E5",524788,4269640,-236275.358910635,65469.5656243553,-122.71543244563,38.5748740115594,24,-4,1,-53,-54,1,19.7020988464355,135.341079711914,59,60,2,2
"176",176,"PPW1522","A1",525056,4269521,-236011.534939193,65341.918321881,-122.712360103535,38.5737940752055,39,9,1,20,2,1,10.1615495681763,61.6206130981445,90,92,2,2
"177",177,"PPW1522","A2",525055.999999999,4269541,-236010.899320953,65361.9433220536,-122.712359384837,38.5739743132525,110,68,1,0,-15,1,21.9085388183594,36.2600898742676,79,79,2,2
"178",178,"PPW1522","A3",525056,4269561,-236010.263702497,65381.9683208074,-122.712358666133,38.574154551294,110,67,1,54,30,1,21.9085388183594,38.4855880737305,91,87,1,2
"179",179,"PPW1522","A4",525056,4269581,-236009.628083825,65401.9933181535,-122.712357947423,38.5743347893299,118,71,2,54,30,1,7.78440237045288,38.9304428100586,103,52,1,2
"180",180,"PPW1522","A5",525056,4269601,-236008.992464939,65422.0183140794,-122.712357228706,38.5745150273602,118,71,2,83,52,1,7.78440237045288,38.9304428100586,91,60,1,2
"181",181,"PPW1522","B1",525076,4269521,-235991.564359896,65341.2840897944,-122.712130508603,38.5737935107863,103,62,1,41,19,1,10.1615495681763,87.6523971557617,91,59,1,2
"182",182,"PPW1522","B2",525075.999999999,4269541,-235990.92874026,65361.3090896783,-122.712129789332,38.5739737488297,110,68,1,28,8,1,10.1615495681763,36.2600898742676,92,69,1,2
"183",183,"PPW1522","B3",525076,4269561,-235990.293120406,65381.3340881476,-122.712129070054,38.5741539868676,110,67,1,54,30,1,10.1615495681763,38.4855880737305,96,29,1,2
"184",184,"PPW1522","B4",525076,4269581,-235989.657500338,65401.3590852031,-122.71212835077,38.5743342248998,64,23,1,54,30,1,12.0183038711548,71.2913436889648,99,51,1,2
"185",185,"PPW1522","B5",525076,4269601,-235989.021880055,65421.3840808356,-122.712127631479,38.5745144629265,96,46,1,46,19,1,12.0183038711548,7.46983814239502,82,50,1,1
"186",186,"PPW1522","C1",525096,4269521,-235971.5937809,65340.6498560468,-122.711900913678,38.5737929459168,106,59,1,38,17,1,10.1615495681763,103.355537414551,87,58,2,2
"187",187,"PPW1522","C2",525095.999999999,4269541,-235970.958159868,65360.6748556406,-122.711900193833,38.5739731839566,51,15,1,33,12,1,10.1615495681763,95.6027450561523,87,74,2,2
"188",188,"PPW1522","C3",525096,4269561,-235970.322538618,65380.6998538249,-122.711899473982,38.5741534219908,51,15,1,33,12,1,12.0183038711548,95.6027450561523,81,62,1,2
"189",189,"PPW1522","C4",525096,4269581,-235969.686917153,65400.724850582,-122.711898754124,38.5743336600194,64,23,1,-14,-26,1,12.0183038711548,71.2913436889648,75,49,1,1
"190",190,"PPW1522","C5",525096,4269601,-235969.051295474,65420.7498459341,-122.71189803426,38.5745138980425,96,46,1,46,19,1,12.0183038711548,7.46983814239502,63,56,1,1
"191",191,"PPW1522","D1",525116,4269521,-235951.623202211,65340.0156206335,-122.711671318759,38.5737923805969,106,59,1,38,17,1,10.1615495681763,103.355537414551,73,70,2,2
"192",192,"PPW1522","D2",525115.999999999,4269541,-235950.98757978,65360.04061994,-122.711670598341,38.5739726186331,51,15,1,38,17,1,NA,95.6027450561523,64,39,1,1
"193",193,"PPW1522","D3",525116,4269561,-235950.351957134,65380.0656178314,-122.711669877916,38.5741528566637,-191,-106,1,-101,-79,1,12.0183038711548,346.201568603516,55,41,1,1
"194",194,"PPW1522","D4",525116,4269581,-235949.716334273,65400.0906143049,-122.711669157484,38.5743330946887,-148,-92,1,-101,-79,1,NA,181.550903320312,45,0,1,1
"195",195,"PPW1522","D5",525116,4269601,-235949.080711197,65420.115609365,-122.711668437046,38.5745133327082,-46,-47,1,-101,-79,1,NA,164.335464477539,62,32,1,1
"196",196,"PPW1522","E1",525136,4269521,-235931.652623823,65339.3813835536,-122.711441723847,38.5737918148268,16,-9,1,-218,-175,5,10.6050224304199,203.995666503906,59,57,1,2
"197",197,"PPW1522","E2",525135.999999999,4269541,-235931.016999998,65359.4063825766,-122.711441002855,38.5739720528593,16,-9,1,-218,-175,5,NA,203.995666503906,22,12,1,1
"198",198,"PPW1522","E3",525136,4269561,-235930.381375954,65379.431380176,-122.711440281856,38.5741522908863,-191,-106,1,-101,-79,1,NA,346.201568603516,23,11,1,1
"199",199,"PPW1522","E4",525136,4269581,-235929.745751695,65399.4563763598,-122.711439560851,38.5743325289077,-148,-92,1,-101,-79,1,NA,181.550903320312,24,29,1,1
"200",200,"PPW1522","E5",525136,4269601,-235929.110127221,65419.4813711336,-122.711438839839,38.5745127669235,-92,-68,1,34,8,1,NA,187.230438232422,49,19,1,1
"201",201,"PPW1524","A1",523771,4271969,-237216.85509832,67833.7159032351,-122.727028088519,38.5958905184251,74,39,1,-9,-23,1,4.67631864547729,68.1395492553711,86,81,2,2
"202",202,"PPW1524","A2",523771,4271989,-237216.219545149,67853.7407466834,-122.727027405932,38.5960707560161,74,39,1,28,9,1,4.67631864547729,68.1395492553711,79,81,2,2
"203",203,"PPW1524","A3",523771,4272009,-237215.583991775,67873.7655886905,-122.727026723338,38.5962509936015,70,35,1,38,17,1,4.67631864547729,90.4466247558594,77,85,2,2
"204",204,"PPW1524","A4",523771,4272029,-237214.948438201,67893.7904292555,-122.727026040739,38.5964312311814,98,57,1,38,17,1,4.67631864547729,90.3474884033203,78,74,1,2
"205",205,"PPW1524","A5",523770.999999999,4272049,-237214.312884424,67913.8152683801,-122.727025358133,38.5966114687557,98,57,1,41,19,1,4.67631864547729,90.3474884033203,82,69,1,2
"206",206,"PPW1524","B1",523791,4271969,-237196.884327443,67833.0817442532,-122.726798422932,38.5958899825193,82,47,1,-9,-23,1,3.85212564468384,81.1832046508789,80,83,2,2
"207",207,"PPW1524","B2",523791,4271989,-237196.248772848,67853.1065874253,-122.726797739771,38.5960702201069,80,44,1,28,9,1,3.85212564468384,79.6368103027344,83,67,1,2
"208",208,"PPW1524","B3",523791,4272009,-237195.613218052,67873.1314291549,-122.726797056603,38.5962504576889,99,60,1,18,0,1,3.85212564468384,78.915153503418,85,76,2,2
