"","Plot","UTM.E","UTM.N","Slope","Aspect","Super.Plot","AEA.x","AEA.y","cwd","marrad","model3","plp100","plp500","topoid","tpi100","tpi500","tpi1000","dem","slope"
"15","PPW1315",524734,4271564,15,337,1,-236257.8996,67403.28659,788.173278808594,532.200012207031,2.85743594169617,32.1766548156738,14.3785848617554,7.01847791671753,-6.64324998855591,-34.3630409240723,-40.6153907775879,253.156097412109,14.2138996124268
"16","PPW1316",524769,4271725,34,189,0,-236216.367,67563.31093,1149.52331542969,806.5,5.92607021331787,66.8769683837891,34.5570411682129,3.76480293273926,11.4887399673462,-7.35263109207153,-16.1226196289062,278.541198730469,27.0469703674316
"17","PPW1317",524778,4271596,25,224,0,-236209.7058,67430.05227,941.929992675781,647.099975585938,5.5317268371582,46.6876983642578,13.9196939468384,4.53239917755127,0.9871826171875,-31.2557697296143,-38.6972389221191,257.696502685547,14.1878004074097
"18","PPW1318",524608,4271846,26,205,0,-236373.1858,67690.41272,1130.193359375,751.099975585938,4.59214782714844,48.2649841308594,10.7456979751587,4.88638591766357,-1.70924401283264,-27.070369720459,-38.0195007324219,246.125701904297,21.5270404815674
"19","PPW1319",524509,4271779,21,354,0,-236473.8018,67626.32235,938.1533203125,594,3.04990911483765,40.0630912780762,19.1714458465576,8.13776302337646,-2.35156297683716,-21.7391109466553,-29.2369403839111,246.049102783203,8.81392097473145
"20","PPW1320",524372,4269329,23.5,129,0,-236688.7035,65177.80315,906.926696777344,561.599975585938,5.18065690994263,52.3659324645996,72.6067581176758,5.21848201751709,2.6133120059967,21.6095600128174,15.1312599182129,287.080108642578,21.2941093444824
"21","PPW1321",524739,4269591,28.5,224,1,-236315.4512,65427.86985,743.243286132812,451.799987792969,5.05100393295288,58.0441627502441,43.3397064208984,5.18044281005859,1.50662195682526,-10.7380104064941,-18.1840496063232,290.237091064453,22.7827205657959
"22","PPW1322",525084,4269552,8,118,1,-235968.3263,65377.84388,975.049987792969,627,1.6352059841156,34.0694007873535,31.4467811584473,10.6186103820801,-5.07000684738159,-20.6164894104004,-15.244779586792,308.321411132812,8.19957160949707
"23","PPW1323",523282,4272416,11.5,259,0,-237678.7662,68303.69733,1040.20324707031,694.400024414062,1.17269599437714,32.1766548156738,8.8081579208374,8.69747352600098,-6.12034606933594,-38.5823097229004,-41.6883506774902,137.703094482422,19.5902309417725
"24","PPW1324",523801,4272002,14.5,24,1,-237173.7543,67869.51305,922.469970703125,581.099975585938,5.79652690887451,72.8706588745117,83.1102600097656,4.40782690048218,8.92526245117188,29.8358192443848,27.1182994842529,245.653305053711,9.81794452667236
"25","PPW1325",526466,4270806,15,35,1,-234551.6283,66590.61515,778.476684570312,525.900024414062,5.37241077423096,67.1924285888672,62.9827919006348,4.80399513244629,4.899658203125,19.6014404296875,28.0809593200684,363.006988525391,16.1187896728516
"26","PPW1326",525165,4271385,25.5,37,0,-235831.7695,67211.44501,696.793273925781,461.799987792969,5.37077617645264,81.7034683227539,69.6622085571289,4.72664022445679,5.23028612136841,15.4329500198364,8.73635864257812,334.614685058594,21.6495304107666
"27","PPW1327",522912,4268880,17.5,186,0,-238160.5524,64774.58498,1329.18664550781,754.700012207031,5.60823488235474,42.2712936401367,34.2857131958008,4.06618118286133,0.507095277309418,-5.54438781738281,13.2778301239014,231.345703125,25.7830905914307
"28","PPW1328",524420,4269661,14,151,0,-236629.8831,65508.86595,1070.48327636719,744.5,4.03072118759155,40.0630912780762,8.23454475402832,5.64827919006348,-4.42834520339966,-54.7798881530762,-61.0951118469238,230.277297973633,15.1511602401733
"29","PPW1329",524086,4271800,NA,NA,0,-236895.323,67661.38481,860.010009765625,528.799987792969,5.08815097808838,80.1261825561523,90.5162506103516,4.80821895599365,4.67904710769653,28.7874908447266,30.0887107849121,270.179107666016,16.0000591278076
"30","PPW1330",523769,4271472,24,320,0,-237222.6357,67342.3976,755.293273925781,452.399993896484,5.31374311447144,58.3596229553223,67.622688293457,4.76586294174194,5.1356201171875,10.1375999450684,9.45225524902344,229.911193847656,22.7739295959473
"31","PPW1331",523503,4271813,24,27,0,-237477.5566,67692.51662,946.056701660156,596.900024414062,5.96032810211182,93.6908493041992,96.838752746582,3.21195888519287,18.3019104003906,57.6739692687988,62.1227989196777,258.914215087891,9.18410110473633
